city,latitude ,longitude,population
"Tokyo, Japan",35.695126,139.75391,37400068
"Delhi, India",24.734319,81.334404,28514000
"Shanghai, China",31.246027,121.483385,25582000
"São Paulo, Brazil",-1.32311,-47.504873,21650000
"Mexico City, Mexico",19.371422,-99.150344,21581000
"Cairo, Egypt",30.06263,31.24967,20076000
"Mumbai, India",19.10109,72.875449,19980000
"Beijing, China",39.937967,116.417592,19618000
"Dhaka, Bangladesh",23.7104,90.40744,19578000
"Osaka-shi, Japan",34.691802,135.50506,19281000
"New York, NY, USA",40.68295,-73.9708,18819000
"Karachi City, Pakistan",24.984695,67.238928,15400000
"Buenos Aires, Argentina",-34.607357,-58.454595,14967000
"Chongqing, China",29.565015,106.548238,14838000
"Constantinople, Turkey",41.01384,28.94966,14751000
"Sealdah, India",22.608067,88.419453,14681000
"Manila, Philippines",14.6042,120.9822,13482000
Lagos,6.45306,3.39583,13463000
"Rio de Janeiro, Brazil",-22.935024,-43.518246,13293000
"Tianjin, China",39.107355,117.185182,13215000